key,es_ES
GAME_TITLE,PetShop Tycoon: Del Baño al Imperio
SERVE,ATENDER
FINISH_BATH,TERMINAR BAÑO
PERFECT,¡PERFECTO!
TRY_AGAIN,REINTENTAR
COINS,Monedas
MISSIONS_TITLE,MISIONES DEL DÍA
COLLECTION_TITLE,COLECCIÓN
STAFF_TITLE,EQUIPO
SHOP_TITLE,TIENDA
MAP_TITLE,DEL BALDE AL IMPERIO
SETTINGS_TITLE,AJUSTES Y ACCESIBILIDAD
BACK,VOLVER AL PETSHOP
CLAIM,COBRAR
CLAIMED,COBRADO
LOCKED,nv. %d
HIRE,CONTRATAR
HIRED,EN EL EQUIPO
BUY,COMPRAR
OWNED,ADQUIRIDO
EMBERS,Ascuas
DAILY_LOGIN,LOGIN DIARIO Día %d/7
MISSION_SERVICES,BAÑOS Y CORTES %d/5
MISSION_PERFECT,A MEDIDA %d/3
MISSION_UPGRADE,TODO NUEVO %d/1
SFX_VOLUME,Efectos
MUSIC_VOLUME,Música
HAPTICS,Vibración
REDUCED_FX,Partículas reducidas
ECO_MODE,Modo eco
LANGUAGE,Idioma
CHOOSE_CLIENT,Elige al siguiente cliente de la fila
SKIP_TUTORIAL,SALTAR TUTORIAL
HINT_BATH,Frota en círculos y suelta en la franja verde
HINT_GROOM,Sigue las flechas: desliza hacia donde apuntan
HINT_DRY,Mantén la secadora dentro del círculo en movimiento
HINT_PERFUME,Rocía cuando el anillo dorado brille (3 rociadas)
HINT_STYLE,Encaja el lacito en la marca rosa y aguanta firme
PERFECT_RESULT,¡PERFECTO!
GOOD_RESULT,¡MUY BIEN!
VIP_TAG,VIP
TIP_LINE,propina +%d%%
NO_TIP,sin propina esta vez
ON,activado
OFF,desactivado
PASSIVE_SPEED,+agilidad general
PASSIVE_BATH_SPEED,el baño rinde más
PASSIVE_GROOM_QUALITY,corte de más calidad
PASSIVE_VETERINARY_XP,+XP en todo
PASSIVE_PATIENCE,los clientes esperan más
PASSIVE_PERFECT_WINDOW,franja Perfect más amplia
IAP_NOTE,Las compras reales llegan con la integración (offline: no disponible).
COSMETIC_NO_FX,Los cosméticos equipados aparecen en tu petshop al instante
PASS_TITLE,PASE 28 DÍAS —
PASS_DESC,Completa las 3 misiones del día para avanzar
PASS_DONE,¡Pase completo! Gracias por el viaje
PASS_UNLOCKED,Día del pase desbloqueado:
