key,pt_BR
ACHIEVEMENT_TOAST,Conquista desbloqueada!
ACH_COLLECT_15,Família Crescendo
ACH_COLLECT_30,Casa Cheia
ACH_COLLECT_5,Amigo dos Pets
ACH_COLLECT_50,Todos os Focinhos
ACH_COMBO_20,Lenda do Petshop
ACH_COMBO_5,Banho Quente
ACH_COMBO_50,Mestre do Ritmo
ACH_COSMETICS_5,Vitrine de Estilo
ACH_EARN_500,Pote Cheio
ACH_FIRST_BATH,Primeiro Mergulho
ACH_FRIEND_50,Melhor Amigo
ACH_LEVEL_25,Profissional do Bairro
ACH_OFFLINE_1H,O Negócio Não Para
ACH_OFFLINE_8H,Cofre Trabalhador
ACH_PERFECT_1,Mão de Groomer
ACH_PERFECT_10,Espuma na Medida
ACH_PERFECT_100,Mãos de Ouro
ACH_PRESTIGE_1,Nova Franquia
ACH_REVIEWS_10,Queridinho do Bairro
ACH_REVIEWS_50,Queridinho da Vizinhança
ACH_RICH_5000,Pote Cheio
ACH_SERVICES_100,Bairro Atendimento
ACH_SERVICES_1000,Lenda do Pet Shop
ACH_SERVICES_500,Instituição do Bairro
ACH_STAFF_2,Equipe de Verdade
ACH_STAFF_5,Elenco Completo
ACH_STREAK_7,Semana Perfeita
ACH_UPGRADE_25,Estação Renomada
ACH_UPGRADE_5,Ducha Poderosa
ACH_UPGRADE_50,Estação dos Sonhos
AFFECTION_TOAST,Laço de amizade! +%d Brasas
ANALYTICS_CONSENT,Compartilhar dados de uso anônimos
ASSIST_WINDOW,Assistência motora (faixa e alvos maiores)
BACK,VOLTAR AO PETSHOP
BIA_HIRED,Bia entrou para a equipe! Ela rende sozinha enquanto você atende.
BUDDY_TAG,amigo
BUDDY_VISIT,%s sentiu sua falta e veio primeiro!
BUY,COMPRAR
CHOOSE_CLIENT,Escolha o próximo cliente da fila
CLAIM,COLETAR
CLAIMED,COLETADO
CLIENT_LEFT,%s cansou de esperar e foi embora.
COINS,Moedas
COLLECT,COLETAR
COLLECTION_TITLE,COLEÇÃO
COLORBLIND_MODE,Modo daltônico (azul/laranja na faixa)
COMEBACK_GIFT,+1 freeze e moedas de boas-vindas!
